HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.experiment,Input.reward,Input.rose_cost,Input.daisy_cost,Input.tulip_cost,Input.flower_cost,Answer.Age,Answer.English,Answer.Gender,Answer.Language,Answer.daisy,Answer.experiment,Answer.rose,Answer.tulip,Answer.sanity,Answer.Comments
3IHWR4LC7DDWQZFIOCWM2WQVQVL8IB,3VQ8315AQ13GRDZBN7Q0N8W1AA6XOT,Take part in a short linguistics experiment,Answer questions about a hypothetical communication game,"survey, questionnaire, experiment",$0.25 ,Sat Dec 26 06:54:05 PST 2015,20,BatchId:2211819;,3600,259200,Sat Jan 02 06:54:05 PST 2016,,,30X31N5D63Q1PL9MGOFGR9YYTPCSA8,A1E5PWE8O010XK,Approved,Sun Dec 27 06:47:20 PST 2015,Sun Dec 27 06:49:48 PST 2015,Wed Dec 30 06:49:48 PST 2015,Sun Dec 27 07:27:18 PST 2015,,,148,100% (1/1),100% (1/1),100% (1/1),1,0.85,0.6,1.2,2.8,0.8,33,No,Female,English,0.34,1,0.72,0.63,0.58,
3IHWR4LC7DDWQZFIOCWM2WQVQVL8IB,3VQ8315AQ13GRDZBN7Q0N8W1AA6XOT,Take part in a short linguistics experiment,Answer questions about a hypothetical communication game,"survey, questionnaire, experiment",$0.25 ,Sat Dec 26 06:54:05 PST 2015,20,BatchId:2211819;,3600,259200,Sat Jan 02 06:54:05 PST 2016,,,3137ONMDKG51PTH71TNLYE5MQOREG6,A1VKHE5L6QVFUV,Approved,Sat Dec 26 10:58:47 PST 2015,Sat Dec 26 11:00:32 PST 2015,Tue Dec 29 11:00:32 PST 2015,Sun Dec 27 07:27:18 PST 2015,,,105,100% (1/1),100% (1/1),100% (1/1),1,0.85,0.6,1.2,2.8,0.8,36,Yes,Male,Tamil,1,1,0,1,1,
3IHWR4LC7DDWQZFIOCWM2WQVQVL8IB,3VQ8315AQ13GRDZBN7Q0N8W1AA6XOT,Take part in a short linguistics experiment,Answer questions about a hypothetical communication game,"survey, questionnaire, experiment",$0.25 ,Sat Dec 26 06:54:05 PST 2015,20,BatchId:2211819;,3600,259200,Sat Jan 02 06:54:05 PST 2016,,,339ANSOTR52I7KFCN3YRHLV7PY4KID,A2LEY4X3LD8G26,Approved,Sat Dec 26 07:00:01 PST 2015,Sat Dec 26 07:01:22 PST 2015,Tue Dec 29 07:01:22 PST 2015,Sun Dec 27 07:27:19 PST 2015,,,81,100% (3/3),100% (1/1),100% (1/1),1,0.85,0.6,1.2,2.8,0.8,29,No,Male,English,0.84,1,0,0.95,1,None
3IHWR4LC7DDWQZFIOCWM2WQVQVL8IB,3VQ8315AQ13GRDZBN7Q0N8W1AA6XOT,Take part in a short linguistics experiment,Answer questions about a hypothetical communication game,"survey, questionnaire, experiment",$0.25 ,Sat Dec 26 06:54:05 PST 2015,20,BatchId:2211819;,3600,259200,Sat Jan 02 06:54:05 PST 2016,,,33L7PJKHCGYOLXTM8Q0S5NOP5HZ8TC,A10LQ8RUWDUI5U,Approved,Sat Dec 26 16:33:45 PST 2015,Sat Dec 26 16:40:35 PST 2015,Tue Dec 29 16:40:35 PST 2015,Sun Dec 27 07:27:19 PST 2015,,,410,100% (1/1),100% (1/1),100% (1/1),1,0.85,0.6,1.2,2.8,0.8,27,No,Female,english,1,1,0,1,1,
3IHWR4LC7DDWQZFIOCWM2WQVQVL8IB,3VQ8315AQ13GRDZBN7Q0N8W1AA6XOT,Take part in a short linguistics experiment,Answer questions about a hypothetical communication game,"survey, questionnaire, experiment",$0.25 ,Sat Dec 26 06:54:05 PST 2015,20,BatchId:2211819;,3600,259200,Sat Jan 02 06:54:05 PST 2016,,,33UKMF9319K7JHLABOBNWJKCJX6TTE,A2BO8M77CS3SGZ,Approved,Sun Dec 27 04:04:11 PST 2015,Sun Dec 27 04:06:09 PST 2015,Wed Dec 30 04:06:09 PST 2015,Sun Dec 27 07:27:19 PST 2015,,,118,100% (8/8),100% (8/8),100% (8/8),1,0.85,0.6,1.2,2.8,0.8,31,No,Female,English,1,1,0,1,1,
3IHWR4LC7DDWQZFIOCWM2WQVQVL8IB,3VQ8315AQ13GRDZBN7Q0N8W1AA6XOT,Take part in a short linguistics experiment,Answer questions about a hypothetical communication game,"survey, questionnaire, experiment",$0.25 ,Sat Dec 26 06:54:05 PST 2015,20,BatchId:2211819;,3600,259200,Sat Jan 02 06:54:05 PST 2016,,,34V1S5K3GS1IX41KH5YDU9RM5D596M,A3B58QWMTBXVE0,Approved,Sat Dec 26 10:04:35 PST 2015,Sat Dec 26 10:08:30 PST 2015,Tue Dec 29 10:08:30 PST 2015,Sun Dec 27 07:27:19 PST 2015,,,235,100% (1/1),100% (1/1),100% (1/1),1,0.85,0.6,1.2,2.8,0.8,32,No,Female,English,0.29,1,0,0.34,1,
3IHWR4LC7DDWQZFIOCWM2WQVQVL8IB,3VQ8315AQ13GRDZBN7Q0N8W1AA6XOT,Take part in a short linguistics experiment,Answer questions about a hypothetical communication game,"survey, questionnaire, experiment",$0.25 ,Sat Dec 26 06:54:05 PST 2015,20,BatchId:2211819;,3600,259200,Sat Jan 02 06:54:05 PST 2016,,,39OWYR0EPKRTHY23QATXNWXQ7LLYFV,A2UF2FRGVW4T89,Approved,Sat Dec 26 07:13:43 PST 2015,Sat Dec 26 07:16:03 PST 2015,Tue Dec 29 07:16:03 PST 2015,Sun Dec 27 07:27:19 PST 2015,,,140,100% (9/9),100% (9/9),100% (9/9),1,0.85,0.6,1.2,2.8,0.8,42,No,Male,English,0.69,1,0,1,1,
3IHWR4LC7DDWQZFIOCWM2WQVQVL8IB,3VQ8315AQ13GRDZBN7Q0N8W1AA6XOT,Take part in a short linguistics experiment,Answer questions about a hypothetical communication game,"survey, questionnaire, experiment",$0.25 ,Sat Dec 26 06:54:05 PST 2015,20,BatchId:2211819;,3600,259200,Sat Jan 02 06:54:05 PST 2016,,,3B1NLC6UGZW5MK6XA73WSQ4Q4V0GP0,A16HSMUJ7C7QA7,Approved,Sat Dec 26 13:28:39 PST 2015,Sat Dec 26 13:34:29 PST 2015,Tue Dec 29 13:34:29 PST 2015,Sun Dec 27 07:27:19 PST 2015,,,350,100% (4/4),100% (1/1),100% (1/1),1,0.85,0.6,1.2,2.8,0.8,61,Yes,Female,English,0.73,1,0.32,0.97,1,
3IHWR4LC7DDWQZFIOCWM2WQVQVL8IB,3VQ8315AQ13GRDZBN7Q0N8W1AA6XOT,Take part in a short linguistics experiment,Answer questions about a hypothetical communication game,"survey, questionnaire, experiment",$0.25 ,Sat Dec 26 06:54:05 PST 2015,20,BatchId:2211819;,3600,259200,Sat Jan 02 06:54:05 PST 2016,,,3CTOC39K37QQ7GSYMRUIPH5LWX9J76,A3PYB8Z6FFWSOV,Approved,Sat Dec 26 18:43:09 PST 2015,Sat Dec 26 18:44:19 PST 2015,Tue Dec 29 18:44:19 PST 2015,Sun Dec 27 07:27:19 PST 2015,,,70,100% (11/11),100% (9/9),100% (9/9),1,0.85,0.6,1.2,2.8,0.8,26,No,Female,English,1,1,0,1,1,
3IHWR4LC7DDWQZFIOCWM2WQVQVL8IB,3VQ8315AQ13GRDZBN7Q0N8W1AA6XOT,Take part in a short linguistics experiment,Answer questions about a hypothetical communication game,"survey, questionnaire, experiment",$0.25 ,Sat Dec 26 06:54:05 PST 2015,20,BatchId:2211819;,3600,259200,Sat Jan 02 06:54:05 PST 2016,,,3E1QT0TDFP9YCJDBEE1ORGMGUYB8IJ,A2ESBX4C2Q6TQY,Approved,Sat Dec 26 07:06:03 PST 2015,Sat Dec 26 07:07:28 PST 2015,Tue Dec 29 07:07:28 PST 2015,Sun Dec 27 07:27:20 PST 2015,,,85,100% (2/2),100% (2/2),100% (2/2),1,0.85,0.6,1.2,2.8,0.8,46,No,Female,english,0.1,1,0,0.36,1,
